,degree_centrality,betweenness_centrality,closeness_centrality,community_id
,0.19428571428571428,0.1986863711001642,0.20037105751391465,0
KoonerpreetVlog,0.005714285714285714,0.0,0.14464285714285713,0
Adivasi_bot_,0.005714285714285714,0.0,0.005714285714285714,1
gramasevasangha,0.005714285714285714,0.0,0.005714285714285714,1
ish_kayy,0.022857142857142857,0.01733990147783251,0.09848024316109422,2
Tractor2twitr,0.005714285714285714,0.0,0.08280092001022232,2
sarkamalc,0.005714285714285714,0.0,0.08280092001022232,2
AUnicorn75,0.06857142857142857,0.060689655172413794,0.12750885478158205,3
PARInetwork,0.005714285714285714,0.0,0.10240202275600505,3
AAPKrishnaYadav,0.005714285714285714,0.0,0.005714285714285714,4
NavJammu,0.005714285714285714,0.0,0.005714285714285714,4
singamshanmuga,0.005714285714285714,0.0,0.005714285714285714,5
ClaudiaWebbe,0.005714285714285714,0.0,0.005714285714285714,5
mahesh01344,0.005714285714285714,0.0,0.14464285714285713,0
shivangi441,0.005714285714285714,0.0,0.10240202275600505,3
KyaniTeamWA,0.005714285714285714,0.0,0.005714285714285714,6
_roohi,0.005714285714285714,0.0,0.005714285714285714,6
sahilkhurana09,0.04,0.0009523809523809524,0.040634920634920635,7
dhaval241086,0.011428571428571429,2.1893814997263272e-05,0.026122448979591834,7
bk_chudasama,0.03428571428571429,0.0004926108374384236,0.03324675324675325,7
LIST4AIRDROP,0.03428571428571429,0.0009852216748768472,0.03428571428571429,8
bej_2019,0.005714285714285714,0.0,0.0187012987012987,8
KisaanSm,0.05714285714285714,0.06541871921182266,0.11960132890365448,2
jagjitvaheguru,0.005714285714285714,0.0,0.09723889555822328,2
SIDistan,0.005714285714285714,0.0,0.0187012987012987,8
amaanbali,0.005714285714285714,0.0,0.09723889555822328,2
GurratanSingh,0.005714285714285714,0.0,0.09723889555822328,2
rssurjewala,0.005714285714285714,0.0,0.14464285714285713,0
GurinderC,0.005714285714285714,0.0,0.09723889555822328,2
yourlawyerkomal,0.005714285714285714,0.0,0.09723889555822328,2
RaviSinghKA,0.011428571428571429,0.06574712643678161,0.14374445430346047,2
jindisinghka,0.005714285714285714,0.0,0.09723889555822328,2
tweetSAMRAT,0.005714285714285714,0.0,0.005714285714285714,9
KumarRaoNYC,0.005714285714285714,0.0,0.005714285714285714,9
LaylaMoran,0.005714285714285714,0.0,0.14464285714285713,0
uflsofficial,0.005714285714285714,0.0,0.14464285714285713,0
flexsingh_,0.005714285714285714,0.0,0.09723889555822328,2
CroydonLibDems,0.005714285714285714,0.0,0.005714285714285714,10
LibDems,0.005714285714285714,0.0,0.005714285714285714,10
grewal01sharry,0.005714285714285714,0.0,0.14464285714285713,0
shriparv,0.005714285714285714,0.0,0.005714285714285714,11
noconversion,0.005714285714285714,0.0,0.005714285714285714,11
NeetaParmar13,0.005714285714285714,0.0,0.0187012987012987,8
modhaliwal,0.005714285714285714,0.0,0.14464285714285713,0
jaykayzone,0.005714285714285714,0.0,0.0187012987012987,8
CyberAnonymous,0.005714285714285714,0.0,0.005714285714285714,12
TOIJaipurNews,0.005714285714285714,0.0,0.005714285714285714,12
elzaphan10,0.005714285714285714,0.0,0.14464285714285713,0
UmarKamran96,0.005714285714285714,0.0,0.005714285714285714,13
ETribuneTech,0.005714285714285714,0.0,0.005714285714285714,13
MankamalSingh,0.011428571428571429,0.06147783251231527,0.15637065637065636,3
Sarb28,0.005714285714285714,0.0,0.005714285714285714,14
TheKaranMenon,0.005714285714285714,0.0,0.005714285714285714,14
renewablepower5,0.022857142857142857,0.028374384236453203,0.14787768142400728,16
rihanna,0.02857142857142857,0.156256157635468,0.1978021978021978,16
ITab29,0.005714285714285714,0.0,0.005714285714285714,17
smartrandhawa,0.005714285714285714,0.0,0.005714285714285714,17
farmers_stand,0.005714285714285714,0.0,0.14464285714285713,0
BobBlackman,0.011428571428571429,2.1893814997263272e-05,0.026122448979591834,7
jyotigoyal08,0.005714285714285714,0.0,0.11513859275053304,16
gurvinder209,0.09714285714285714,0.14811165845648605,0.1787093215664644,18
timesofindia,0.005714285714285714,0.0,0.1330049261083744,18
DickandSharon,0.011428571428571429,6.568144499178982e-05,0.011428571428571429,19
shaunking,0.005714285714285714,0.0,0.007619047619047619,19
mehdirhasan,0.005714285714285714,0.0,0.14464285714285713,0
GretaThunberg,0.011428571428571429,0.005845648604269294,0.14555256064690025,0
nytimes,0.005714285714285714,0.0,0.1330049261083744,18
Travis4Climate,0.005714285714285714,0.0,0.11372411372411372,0
