username,sentiment_score,tweet_count,cluster,influence_score
AAPKrishnaYadav,0.09304999999999998,8,4.0,0.005681818181818182
ANI,0.06402962962962963,54,0.0,0.0030689516315390345
AUnicorn75,0.064885,160,3.0,0.03291236429397771
Adivasi_bot_,-0.25,1,1.0,0.005681818181818182
AlecSocial,0.4767,1,31.0,0.005681818181818182
AmoghIN,-0.8466,1,24.0,0.005681818181818182
AsmFar07,0.0,1,8.0,0.0035066831294854085
BobBlackman,0.4927,1,7.0,0.004043336262503084
CUTSCCIER,0.7717,1,30.0,0.004376737150418517
ClaudiaWebbe,0.004443478260869568,92,5.0,0.005681818181818182
CroydonLibDems,-0.8126,1,10.0,0.005681818181818182
CyberAnonymous,0.0723875,32,12.0,0.005681818181818182
DesiWestTeam,0.14629999999999999,9,18.0,0.009035783188484527
Devinder_Sharma,0.049157024793388425,968,2.0,0.003319037452463866
DickandSharon,0.3243,4,19.0,0.008291980244617508
Duhmun,-0.45535,4,18.0,0.003046510291129709
ETribuneTech,-0.229875,4,13.0,0.005681818181818182
ErGrpreetSingh,0.0676032258064516,93,18.0,0.003046510291129709
GippyGrewal,-0.11108333333333331,12,29.0,0.005681818181818182
GurinderC,0.4163842105263158,76,2.0,0.003145459726085547
GurjindErBarana,-0.296,1,16.0,0.0033732528563048467
GurratanSingh,0.07365555555555556,108,2.0,0.003145459726085547
HamzaNaeemPTI,-0.5574,1,20.0,0.005681818181818182
HateBuster1,-0.02074444444444445,18,22.0,0.004376737150418517
ITab29,0.0,1,17.0,0.005681818181818182
IamPolSol,0.050097619047619044,336,7.0,0.004043336262503084
IndiaToday,-0.1099359865470852,28544,0.0,0.0030689516315390345
Jaskirat_20,0.0,1,29.0,0.005681818181818182
KisaanSm,0.019214351145038167,655,2.0,0.026973761879270534
KumarRaoNYC,-0.1331,6,9.0,0.005681818181818182
KyaniTeamWA,0.5838,1,6.0,0.005681818181818182
LIST4AIRDROP,-0.11184285714285713,14,8.0,0.01873262849581481
Lala_The_Don,-0.6977,1,7.0,0.004043336262503084
LaylaMoran,-0.8126,1,0.0,0.0030689516315390345
MankamalSingh,0.04725445544554456,707,3.0,0.005400854998911041
Mehak20sidhu,0.7906,12,27.0,0.003444536413704472
MrsGandhi,-0.16230625,192,7.0,0.004043336262503084
NYCMayor,0.946,1,0.0,0.0030689516315390345
NationalFedera4,0.11202000000000001,10,3.0,0.0031841760946447334
NavJammu,0.11171968696502813,36801,4.0,0.005681818181818182
PARInetwork,0.0989304347826087,115,3.0,0.0031841760946447334
PSainath_org,0.4588,1,3.0,0.0031841760946447334
PaddyVaidy,-0.06364,10,3.0,0.0031841760946447334
PallyB,0.07891485148514851,707,25.0,0.005681818181818182
RamaDhanyaHari,0.4019,2,32.0,0.003593688531578721
RaviSinghKA,0.14442884615384616,1664,2.0,0.005339697289942528
RepJimCosta,0.2023,1,18.0,0.003046510291129709
SIDistan,-0.0408,4,8.0,0.0035066831294854085
Sarb28,-0.25,1,14.0,0.005681818181818182
Shashwati,0.022024999999999993,16,22.0,0.004376737150418517
Sikh24,-0.1500655870445344,1482,0.0,0.0030689516315390345
